playlist_id,owner_id,owner_group,dau,users,n_tracks,n_artists,n_albums,genre,mood,nlp_tokens,estimated_revenue_usd,topic_num_by_LDA
7ECmf74Ey57LAYulSxhL9w,spotify,spotify,2487,120345,37,37,37,blues,urgent,"funky, heavy, bluesy",131.677,0
6gtSUX8SMPWngGmEF5gGea,spotify,spotify,2296,102111,76,72,75,latin,energizing,"latin, dance",127.792,4
5iQ0qBTxtuSZYsVDsBYxHQ,14f054d102c76528d828f1f8d026c5dd,non-spotify,2430,39963,263,239,218,rap,defiant,music,126.077,2
4DY7Km3NhBRBbaWp57biPo,2ef5cd9f36c40328c0648256713c7c2b,non-spotify,1621,45701,372,53,61,traditional,romantic,"romeo, prince, royce",125.083,0
7Aaln08N2ad8GDjJx5DH5l,spotify,spotify,1808,240770,54,46,41,dance & house,sensual,"summer, chill",124.901,2
5tw6p4DQ3A0vX4TtT9uYHH,spotify,spotify,1823,43615,25,24,24,jazz,sentimental,"jazz, autumn",123.844,2
4bWgWsz9p9eZVtpIvBgbsj,spotify,spotify,1756,85107,94,44,47,jazz,lively,"smokey, bar",123.354,0
6nU0t33tQA2i0qTI5HiyRV,6987037f34b5cee787a1a5e8de9b2689,non-spotify,1524,35574,75,73,68,country & folk,upbeat,"country, hits, updated, kip, sam, tim, eli, young, lady, kacey, florida, georgia, line",121.079,0
2dUPFbuNyHAZSNDhLsJ1Hp,spotify,spotify,2069,127219,83,76,82,electronica,sensual,"chill, party",120.757,2
6Y5oLMTb9CdZ9eO1v6ns7F,spotify,spotify,2453,196735,46,42,44,dance & house,aggressive,"night, rider",119.798,3
7Gl2RCegZJ5Im1bZY9iHHY,52c9c4e80b12d920892f773d75fb04cb,non-spotify,1958,62299,227,198,218,electronica,sensual,"sexy, beats",116.606,1
3nisJRG8uhhMXBuAvcE5JE,spotify,spotify,2366,80475,62,59,60,r&b,sensual,nothing,112.98,0
35OqDBYk7Fx0szRkZJ9zdk,spotify,spotify,1579,115535,59,46,56,alternative,urgent,"love, rock",110.831,3
2YbfuxUyuOhtb5z7J1H3ak,spotify,spotify,1953,110918,65,63,59,rock,excited,"pure, rock, roll",109.284,3
7LzLEOOMmckXPwFLmsy52e,spotify,spotify,1250,31699,42,40,41,indie rock,brooding,"mellow, indie, dinner",109.214,4
7MPXsjQGsXcLdNz7UxVuVl,spotify,spotify,1742,80615,80,34,39,alternative,brooding,"dark, stormy",109.109,0
1jSEaJumIK6pVIDGR9G7k6,87aa86992cce02b1f924d41d861cbdea,non-spotify,1927,33751,216,171,168,rap,defiant,"hip, hop, party, mix",108.507,0
6XChIaijnUBzPDrQOX02AJ,spotify,spotify,1902,84187,96,84,89,jazz,sentimental,"jazz, classics",107.646,1
2tWWaAKlh8vLF6jtYS3KpH,f96518b0da60f2f7366357b042c3838c,non-spotify,2377,74135,602,239,250,rap,defiant,"beast, mode, workout",107.443,1
7jUICRi0t43NOjuaUhE6r6,spotify,spotify,1862,93294,23,21,23,pop,melancholy,"look, eyes",106.869,0
76Mbz7BtOQAuFfEU8jM5h9,1412e8273a3e41e71e3af85d3936a078,non-spotify,1552,53130,26,25,25,rock,energizing,"guardians, awesome, mix",102.844,4
40KutbvdMWpR9emPG0p4kQ,spotify,spotify,2082,23202,120,59,60,indie rock,yearning,"new, music, friday, nordic",102.578,2
7CQunpJEHecknIyABfS8pP,spotify,spotify,1551,101765,100,49,50,indie rock,brooding,"rainy, day",102.123,0
3tqF4zbW7zbNX3pP6rSw2B,spotify,spotify,1892,71626,96,84,87,dance & house,energizing,"disco, forever",100.345,0
6zH5yMXW7wULKqebY65Bnt,570a22cdf33f8216176bfd583f6444bd,non-spotify,1545,59385,44,1,1,latin,romantic,rancheras,100.093,0
0UHbhCjKlXnFfv98bKrtKv,spotify,spotify,1296,68712,420,125,135,pop,sophisticated,"ultimate, covers",98.7,0
3JtIIyGCZBCTphGyrbhG16,spotify,spotify,1237,86453,77,76,76,country & folk,empowering,"country, gold",97.167,0
0Sb1hi1Qh0W6LuGiifPJYv,spotify,spotify,1392,138393,47,47,47,country & folk,upbeat,"summer, country",95.83,0
7wY9Y0vIpextnK6Vq7bvkL,spotify,spotify,1756,134586,147,49,47,pop,defiant,"workout, normals",95.648,1
5x0EX4CAtXzIE1ohwXIBID,a19ebea5b5c28f3eff7f45167f7f3b1c,non-spotify,1563,50843,226,202,212,dance & house,aggressive,"electronic, rage, music, trap, dubstep, halloween, house, hard, drum, bass, edm, party, trap, music, trap, remix, dimitri, vegas, tomorrowland, tomorrowworld, edc, pregame, twerk",95.305,2
3TTNrYOYbQ9S9GIK4LsajR,6f56a33fa8d5040322833f7afc6ac37f,non-spotify,1501,39646,385,320,308,pop,energizing,totally,94.472,0
3fCn2nqmX6ZnYUe9uoty98,spotify,spotify,1116,128280,59,49,55,electronica,sensual,"atmospheric, calm",92.505,0
1Hd6FKA6On582nMsfpoRTl,spotify,spotify,1124,55631,36,36,36,indie rock,yearning,"dinnertime, acoustics",92.239,3
2QPg9909xBhfYOgrlrpyi0,spotify,spotify,1471,61634,44,43,38,pop,excited,"popify, current, pop, hits",91.287,4
3IMytPS9eKTLYn9NRTqWwp,52b3b82b074460a94e1ced626abd75d1,non-spotify,1524,45727,238,209,220,pop,excited,"happy, songs",90.552,1
64fBn7uXMINWkyzyMd38yy,f3a8092c7de2b87a9660c3fad2eb4b35,non-spotify,1090,41264,229,160,198,latin,romantic,"pop, latino",89.831,4
7DFp1KOMAIk3qxPXqaELHC,a6868acdb07d9768285683154bd4511b,non-spotify,826,21374,776,420,503,indie rock,empowering,"monsters, door, cinema, club, heart, ben, howard, etc, radio",88.347,0
2oSAB15ngVoltjpBhcYO5x,6987037f34b5cee787a1a5e8de9b2689,non-spotify,1738,52805,150,73,72,dance & house,excited,"dancefloor, updated, duke, calvin, zedd",87.556,0
3FUxUypvSlpuuQhoC0xKJU,spotify,spotify,1331,129607,162,79,81,indie rock,excited,"creativity, boost",86.765,0
2R6xBIkSYaiyf4XjwpvUb5,spotify,spotify,1198,55132,62,46,49,electronica,defiant,"electro, swing",85.841,0
0ijttIJY7IL2Ez3zoMPxwC,spotify,spotify,1481,176054,98,96,96,dance & house,excited,"trendy, music",85.288,2
51QomqtpUugVlylop36SrC,spotify,spotify,1153,41120,39,33,35,blues,gritty,"blues, roots",85.176,0
4fjhjT7CRZdUWsBeBxbaqo,34f62fb34a885cdf81c7c790e6d74045,non-spotify,1102,31169,320,204,237,pop,sensual,"pop, hits",84.028,4
3dkOOPxIIk2uhGsZXsUmhh,spotify,spotify,1386,74411,78,37,38,pop,empowering,"love, sounds, like",83.895,3
5VDIbjFVcBXkFyrloulSvF,f823763ea41bb727d6232da833fa93a5,non-spotify,758,25098,218,156,166,r&b,upbeat,"soul, motown",83.825,0
70X9CPfVWXmFqX5ObjSvOP,spotify,spotify,1047,60644,70,46,48,country & folk,peaceful,"indie, folk, focus",82.6,4
6ifjFa2fEECEvmsX48zeUw,spotify,spotify,971,90622,182,177,180,indie rock,brooding,"infinite, indie",80.829,4
6Higf6awk4pfVmjvlaCn7b,spotify,spotify,1113,40354,105,90,98,religious,empowering,"top, christian, tracks",78.925,1
6ORPPIGa0FjkwfJVTYkfKu,spotify,spotify,978,46443,71,69,70,indie rock,yearning,other,78.617,0
6jOKJ9uMXxnGM9Bh3rujY3,spotify,spotify,858,21827,76,66,70,country & folk,gritty,"southern, gothic",77.056,0
0dBTRmxyfCYFY483cve71c,spotify,spotify,1256,42368,56,47,52,punk,empowering,"pop, punk, powerhouses",76.846,4
4GSHvNwI5Nt7tSZNFF9ZQ4,8f127d412e9d9213e8be59f08a2641cd,non-spotify,1222,39946,71,66,67,indie rock,yearning,favorites,76.727,0
1vfys0yYhZEyJ9yvnULyM2,spotify,spotify,1416,89170,98,48,48,indie rock,defiant,other,75.88,0
18N4nxS3fhMv7Je7dk9cw4,spotify,spotify,1155,52325,40,1,1,country & folk,lively,bluegrass,75.796,0
7BixMZxL4bhgULJQ5wPbUz,spotify,spotify,1122,69229,172,84,85,rap,sensual,chillax,75.53,0
34P5EO41t2NwWTDjaj4Sf8,spotify,spotify,1091,15379,111,27,35,country & folk,gritty,"essential, folk",74.599,2
2iH04P3VVNdPfspKdibONM,f7cfc44159ccd3520449dd0afe2d9186,non-spotify,1042,17232,122,88,103,country & folk,rowdy,"upbeat, country",74.025,0
4PuONwS8DuPDxnaV2bDOU9,spotify,spotify,1049,52271,54,27,27,country & folk,yearning,"love, country",72.443,3
5CZ3KO3EExplZOzHDMzgym,491a4f24d9e371095364cff4f59981a5,non-spotify,1559,46873,523,493,372,rap,defiant,"current, jams",71.61,4
1wi5N6MP7dbxap4sqIf0gk,9b806f8258f8ec52f7c1f14a0ae87209,non-spotify,771,18067,77,68,68,country & folk,upbeat,"billboard, top, country",71.323,0
0rvcWf8qidEbzpy2QacI0J,spotify,spotify,1179,62192,52,48,51,electronica,sensual,"beats, breaks",69.377,1
6AvLNaeJ7qeF1Ur1kNoiXT,1b1e10e4cdc0c7da1280d2a34e895f06,non-spotify,1691,10125,226,187,197,dance & house,aggressive,"diplo, friends, radio",68.915,0
5MMhaqIrPZLeTAyG7RpBRP,spotify,spotify,1110,63398,32,31,32,indie rock,upbeat,seize,68.6,0
00i82lDzMDdiHWNjrIGAyw,04180a877fac693c719928551cc52559,non-spotify,1197,44904,90,30,30,indie rock,excited,"fifa, soundtrack",68.222,1
28u6lBC7gxxl3zbFcjZWdN,spotify,spotify,1623,136056,40,20,20,dance & house,excited,"running, low, tempo, bpm",67.459,0
2ydjCQ1eQFggsLnzmBDKGf,16fc29e8d9b310da7ab01ee5a67a8b36,non-spotify,853,13248,154,109,127,rock,rowdy,playlist,67.438,2
6GSUSUzR45WuDjkXG5qAvS,spotify,spotify,1284,9282,50,25,25,pop,yearning,"pop, pu00e5, svenska",66.92,4
5bXZLtnfqq2UbTEcZaHbqF,f45d2213d585f14fad64476f508d3c54,non-spotify,705,18164,434,226,298,country & folk,romantic,"classic, country",64.162,0
4ORiMCgOe6UxBDqW8SF1Lm,spotify,spotify,1915,321839,68,31,32,r&b,sensual,other,63.455,0
7t5PfPV1MdYnpmGPxwv5Ef,spotify,spotify,1482,47230,285,56,55,r&b,sensual,love,63.238,3
00sP0XsnG64tXgaBUJ8u2c,f44d2395876db905a928124ea3c00bd3,non-spotify,858,27838,348,255,299,indie rock,excited,"hipster, morning",62.538,4
0rmxqVGbsBjP5oiFAyFnY3,4a4041aa4555ae2a93507264898b40c2,non-spotify,1145,21500,872,655,647,pop,defiant,other,61.46,0
1z6NrjqfbC6DdFfGk8PQ3Y,07d7aba7039d01d9214924638a14daf0,non-spotify,4,9,153,10,12,rock,aggressive,rock,61.117,3
